"","Player","Nation","Pos","Squad","Age","League","Year","DefPred"
"309","D. Tweheyo","Dosqaly","DF","Swift Rustlers",18,"B","2020",6.6835
"537","U. Adjei","Esia","DF","White Firebirds",27,"C","2020",6.6841
"2129","J. Wulandari","Nganion","DF","Marvelous Coyotes",26,"RFL","2021",6.6851
"90","T. Chebet","People's Land of Maneau","DF","Old Mustangs",22,"A","2020",6.69026666666666
"1856","P. Tzur","Sobianitedrucy","DF","Sugar Bengals",32,"D","2021",6.69496666666666
"13","D. Ikeda","People's Land of Maneau","DF","Fighting Cougars",27,"A","2020",6.6969
"2151","S. Szabó","Rarita","DF","Serious Buffaloes",29,"RFL","2021",6.70576666666667
"1127","S. Chided","Lefghau","DF","Mighty Jays",22,"A","2021",6.71073333333333
"1143","I. Kabagenyi","People's Land of Maneau","DF","Old Mustangs",23,"A","2021",6.75176666666667
"567","Z. Chavula","Greri Landmoslands","DF","Fighting Clippers",28,"D","2020",6.76163333333333
"1631","T. Hermawan","Esia","DF","White Firebirds",24,"C","2021",6.77703333333333
"1347","A. Peña","Nganion","DF","Solemn Leopards",30,"B","2021",6.79033333333333
"572","M. Ayebazibwe","Sobianitedrucy","DF","Fighting Clippers",25,"D","2020",6.79523333333333
"462","Q. Yadav","Quewenia","DF","Serious Cyclones",24,"C","2020",6.80836666666666
"115","R. Navarro","Highhlaands","DF","Solemn Cougars",31,"A","2020",6.81653333333333
"1548","Q. Yadav","Quewenia","DF","Serious Cyclones",25,"C","2021",6.82876666666667
"1963","V. Andersson","Dosqaly","DF","Mad Kingsmen",27,"E","2021",6.8306
"1857","S. Kamoga","Sobianitedrucy","DF","Sugar Bengals",21,"D","2021",6.83616666666666
"758","D. Deli?","Sobianitedrucy","DF","Sugar Bengals",32,"D","2020",6.8452
"853","D. Huda","Nganion","DF","Mad Kingsmen",29,"E","2020",6.8501
"2176","U. Arthur","Rarita","DF","Wild Hornets",31,"RFL","2021",6.85646666666667
"1633","H. Yong","New Uwi","DF","White Firebirds",27,"C","2021",6.8742
"827","C. Nakitto","Nganion","DF","Horrible Bison",33,"E","2020",6.87856666666667
"1037","M. As","People's Land of Maneau","DF","Marvelous Coyotes",25,"RFL","2020",6.88963333333333
"622","X. Denis","Lefghau","DF","Marvelous Patriots",21,"D","2020",6.8914
"1629","A. Chelimo","Dosqaly","DF","White Firebirds",21,"C","2021",6.89983333333333
"1222","T. Teo","Slandsganiamayotteque","DF","Weak Tornadoes",32,"A","2021",6.903
"1099","D. Chen","Lefghau","DF","Green Fleet",27,"A","2021",6.93379999999999
"357","P. Tumwine","Lefghau","DF","Weak Blimps",35,"B","2020",6.9345
"1386","U. Arthur","Lefghau","DF","Unaccountable Foxes",31,"B","2021",6.97136666666666
"624","B. Matei","Sobianitedrucy","DF","Marvelous Patriots",22,"D","2020",6.97376666666666
"86","A. Sihombing","Central Namemo Laand","DF","Old Mustangs",27,"A","2020",6.98733333333333
"1829","B. Mayer","Rosvi","DFMF","Spicy Pointers",31,"D","2021",6.98883333333333
"43","A. Haruna","Dosqaly","DF","Horrible Grizzlies",24,"A","2020",6.98986666666666
"1233","V. Mhlanga","Dosqaly","DF","Flawless Cows",27,"B","2021",7.00756666666666
"472","P. Be","Esia","DF","Silver Frogs",20,"C","2020",7.0154
"48","T. Nouri","People's Land of Maneau","DF","Horrible Grizzlies",21,"A","2020",7.01763333333333
"1132","E. Ramezani","People's Land of Maneau","DF","Mighty Jays",24,"A","2021",7.01766666666667
"583","V. Rocha","Western Niasland","DF","Fighting Wave",31,"D","2020",7.03836666666666
"851","M. Kayesu","Lefghau","DF","Mad Kingsmen",31,"E","2020",7.04946666666666
"93","P. Saputra","People's Land of Maneau","MFDF","Old Mustangs",33,"A","2020",7.051
"15","K. Tóth","People's Land of Maneau","DF","Fighting Cougars",24,"A","2020",7.0543
"45","Y. Eyotaru","Mico","DF","Horrible Grizzlies",23,"A","2020",7.0597
"457","I. Nakityo","Dosqaly","DF","Serious Cyclones",20,"C","2020",7.0744
"1736","L. Yusof","Byasier Pujan","DF","Marvelous Heels",26,"D","2021",7.08473333333333
"829","H. Lo","Nganion","DF","Horrible Bison",25,"E","2020",7.0928
"569","L. Schubert","Pierrema","DF","Fighting Clippers",28,"D","2020",7.09976666666666
"461","D. Nabbosa","Nkasland Cronestan","DF","Serious Cyclones",34,"C","2020",7.12383333333333
"1595","L. Mitchell","Esia","DF","Ultimate Dolphins",24,"C","2021",7.12936666666666
"1861","V. Kaneko","Central Namemo Laand","DF","Wet Flames",30,"D","2021",7.14016666666666
"983","K. Shibata","Rarita","DF","Black Coyotes",28,"RFL","2020",7.15043333333334
"1803","Y. Vitali","Sobianitedrucy","DF","Remarkable Flames",27,"D","2021",7.16026666666667
"350","B. Waon","Badad","DF","Weak Blimps",23,"B","2020",7.16453333333333
"1689","I. Gashi","Rosvi","DF","Fighting Clippers",28,"D","2021",7.17493333333333
"852","A. Richard","Nganion","DF","Mad Kingsmen",33,"E","2020",7.18176666666667
"1770","L. Chiu","Lylimi","DF","Mighty Monkeys",31,"D","2021",7.18523333333333
"2004","N. Muzenda","Nganion","DF","Polar Kangaroos",25,"E","2021",7.19623333333333
"1968","D. Huda","Nganion","DF","Mad Kingsmen",30,"E","2021",7.1994
"908","W. Ng","Greri Landmoslands","DF","Running Bigfoots",30,"E","2020",7.20843333333333
"1593","B. Klemen?i?","Dosqaly","DF","Ultimate Dolphins",24,"C","2021",7.21343333333333
"2036","Y. Turyahabwe","Byasier Pujan","DF","Running Bigfoots",25,"E","2021",7.21363333333333
"573","S. Ningsih","Sobianitedrucy","DF","Fighting Clippers",22,"D","2020",7.2309
"154","A. Tumuhaise","People's Land of Maneau","DF","Sugar Storm",21,"A","2020",7.2335
"1686","B. Colin","Loco Phirema","DF","Fighting Clippers",26,"D","2021",7.24223333333333
"1223","G. Cossa","Southern Ristan","DF","Weak Tornadoes",32,"A","2021",7.24276666666667
"911","C. Navarro","Nganion","DF","Running Bigfoots",33,"E","2020",7.24826666666666
"89","M. Tumuramye","Ngoque Blicri","DF","Old Mustangs",25,"A","2020",7.2535
"885","Z. Hribar","Nganion","DF","Plane Janes",22,"E","2020",7.267
"1768","Y. Gashi","Mico","DF","Mean Wolves",29,"D","2021",7.26703333333333
"761","S. Kamoga","Sobianitedrucy","DF","Sugar Bengals",20,"D","2020",7.26846666666667
"976","O. Farkas","Pierrema","DF","Ultimate Penguins",27,"E","2020",7.2691
"1838","Q. Abo","Imaar Vircoand","DF","Strange Pioneers",29,"D","2021",7.27873333333333
"181","G. Tamm","Dosqaly","DFMF","Flawless Cows",17,"B","2020",7.30503333333334
"1989","C. Ibrahim","Imaar Vircoand","DF","Plane Janes",29,"E","2021",7.31143333333334
"690","H. Francisco","Rosvi","DF","Remarkable Flames",33,"D","2020",7.31496666666666
"1756","C. Obi","Sobianitedrucy","DF","Marvelous Patriots",28,"D","2021",7.31586666666666
"1422","J. Irawan","Giumle Lizeibon","DF","Weak Blimps",19,"B","2021",7.319
"755","R. Ishii","People's Land of Maneau","DF","Sugar Bengals",34,"D","2020",7.32033333333333
"1700","A. Ansah","Varijitri Isles","DF","Fighting Wave",22,"D","2021",7.324
"1694","L. Achen","Lefghau","DF","Fighting Wave",29,"D","2021",7.32646666666666
"1800","G. Efendi","Sobianitedrucy","DF","Remarkable Flames",29,"D","2021",7.32766666666667
"1488","K. Ohayon","Esia","DF","Horrible Flames",31,"C","2021",7.33976666666667
"2079","E. Bukar","Lefghau","DF","Swift Bison",29,"E","2021",7.3483
"1632","U. Adjei","Esia","DF","White Firebirds",28,"C","2021",7.36523333333333
"613","J. Atala","Moaithe","DF","Marvelous Heels",26,"D","2020",7.3693
"1587","A. Akoth","Unicorporated Tiagascar","DFMF","Supreme Jaguars",27,"C","2021",7.3693
"661","V. Kao","Nkasland Cronestan","DF","Punctual Fire",16,"D","2020",7.37113333333333
"716","W. Fernando","Nganion","DF","Serious Ranchers",26,"D","2020",7.40076666666666
"1230","J. Kyarisiima","Dosqaly","DF","Flawless Cows",21,"B","2021",7.40113333333333
"1372","H. Mphande","Dosqaly","DF","Swift Rustlers",18,"B","2021",7.4115
"2155","E. Vasav","Moaithe","DF","Strong Oaks",23,"RFL","2021",7.4148
"802","L. Wilson","Dosqaly","DF","Festive Governors",24,"E","2020",7.42593333333334
"1642","M. Addai","Esia","DF","Wicked Gentlefolk",24,"C","2021",7.42843333333334
"1129","E. ?ta","Nganion","DF","Mighty Jays",26,"A","2021",7.4378
"1712","B. Angella","Lylimi","DF","Flying Bombadiers",21,"D","2021",7.46693333333333
"1944","D. Hara","Nganion","DF","Horrible Bison",26,"E","2021",7.47576666666667
"1133","V. Ram","People's Land of Maneau","DF","Mighty Jays",25,"A","2021",7.4876
"1754","X. Denis","Lefghau","DF","Marvelous Patriots",22,"D","2021",7.48776666666666
"628","P. Natukunda","Sobianitedrucy","DF","Marvelous Patriots",35,"D","2020",7.50306666666666
"961","G. Rizzo","Nganion","DF","Swift Marauders",22,"E","2020",7.50356666666667
"38","U. Wright","People's Land of Maneau","DF","Green Fleet",26,"A","2020",7.51636666666666
"2126","A. Gautier","Greri Landmoslands","DF","Marvelous Coyotes",23,"RFL","2021",7.52286666666667
"1001","N. Singh","Varijitri Isles","DF","Golden Cadets",24,"RFL","2020",7.53333333333333
"1139","A. Sihombing","Central Namemo Laand","DF","Old Mustangs",28,"A","2021",7.53493333333333
"1698","R. Bogere","Sobianitedrucy","DF","Fighting Wave",35,"D","2021",7.5357
"1695","Z. Krajnc","Lefghau","DF","Fighting Wave",29,"D","2021",7.53773333333333
"288","I. Nabatanzi","Greri Landmoslands","DF","Somber Stallions",35,"B","2020",7.54646666666667
"1353","J. Odeke","Byasier Pujan","DF","Somber Stallions",20,"B","2021",7.55293333333333
"718","C. Alanazi","Sobianitedrucy","DF","Serious Ranchers",31,"D","2020",7.56366666666667
"64","C. Nakitto","Nganion","DF","Mighty Jays",33,"A","2020",7.5681
"1356","I. Nabatanzi","Greri Landmoslands","DF","Somber Stallions",36,"B","2021",7.58123333333333
"563","T. Levy","Sobianitedrucy","DF","Deranged Defenders",29,"D","2020",7.583
"179","O. Khainza","Lefghau","DF","Flawless Cows",34,"B","2020",7.59566666666666
"1416","D. Hí","Dosqaly","DF","Weak Blimps",17,"B","2021",7.5983
"173","Y. Nassuuna","Coastpa Barleslands","DF","Flawless Cows",23,"B","2020",7.60306666666666
"1135","A. Akoth","Unicorporated Tiagascar","DF","Mighty Jays",27,"A","2021",7.61876666666667
"710","I. Greenberg","Cabral Retrea","DF","Serious Ranchers",32,"D","2020",7.6213
"1817","Q. Henriksen","Sobianitedrucy","DF","Serious Ranchers",26,"D","2021",7.6326
"1852","Z. Wu","Ledian","DF","Sugar Bengals",25,"D","2021",7.65396666666667
"801","J. Ayebare","Dosqaly","DF","Festive Governors",25,"E","2020",7.66086666666667
"1702","V. Rocha","Western Niasland","DFMF","Fighting Wave",32,"D","2021",7.66176666666666
"1141","M. Tumuramye","Ngoque Blicri","DF","Old Mustangs",26,"A","2021",7.67919999999999
"1792","W. Rusu","Byasier Pujan","DF","Remarkable Flames",25,"D","2021",7.67956666666666
"1279","K. Nanyonjo","Imaar Vircoand","DF","Mean Colts",21,"B","2021",7.6885
"1621","L. Oroma","Southern Ristan","DF","Weak Chargers",29,"C","2021",7.69313333333334
"1160","D. Pellegrino","People's Land of Maneau","MFDF","Punctual Rustlers",30,"A","2021",7.71303333333333
"37","R. Ishii","People's Land of Maneau","DF","Green Fleet",34,"A","2020",7.71306666666667
"196","P. Igwe","Dosqaly","DF","Golden Rustlers",33,"B","2020",7.72703333333333
"566","X. Boyko","Coastpa Barleslands","DF","Fighting Clippers",28,"D","2020",7.72983333333333
"1843","U. Mayer","Rosvi","DF","Strange Pioneers",22,"D","2021",7.7511
"524","Y. Turyahabwe","Byasier Pujan","DF","Weak Chargers",24,"C","2020",7.75256666666667
"1074","K. Tóth","People's Land of Maneau","DF","Fighting Cougars",25,"A","2021",7.7578
"1854","H. Francisco","Rosvi","DF","Sugar Bengals",34,"D","2021",7.7679
"1130","Z. Semakula","Nganion","DF","Mighty Jays",25,"A","2021",7.7685
"1205","W. Twinamatsiko","Mico","DF","Swift Musketeers",27,"A","2021",7.76976666666667
"1234","J. Kawano","Esia","DF","Flawless Cows",23,"B","2021",7.77806666666667
"541","E. Hor","Nganion","DF","White Firebirds",22,"C","2020",7.78296666666666
"121","M. Happy","Varijitri Isles","DF","Solemn Cougars",23,"A","2020",7.7854
"2125","J. De Luca","Dosqaly","DF","Marvelous Coyotes",26,"RFL","2021",7.7861
"574","W. Joao","Byasier Pujan","DF","Fighting Wave",19,"D","2020",7.7887
"1759","N. Singh","Varijitri Isles","DF","Marvelous Patriots",25,"D","2021",7.7928
"971","B. Turinawe","Lefghau","DF","Ultimate Penguins",29,"E","2020",7.79336666666667
"982","C. Tukamushaba","Rarita","DF","Black Coyotes",24,"RFL","2020",7.79386666666667
"2006","H. Nakagolo","Pahon","DF","Polar Kangaroos",29,"E","2021",7.80393333333333
"804","C. Busingye","Greri Landmoslands","DF","Festive Governors",25,"E","2020",7.80946666666666
"1384","J. Delemovi?","Dosqaly","DF","Unaccountable Foxes",25,"B","2021",7.81469999999999
"290","S. Chided","Lefghau","DF","Somber Stallions",21,"B","2020",7.81646666666667
"1910","M. Takata","Janmico","DF","Festive Governors",21,"E","2021",7.8227
"1757","P. Natukunda","Sobianitedrucy","DF","Marvelous Patriots",36,"D","2021",7.82493333333333
"2040","C. Kasangaki","Nganion","DF","Running Bigfoots",30,"E","2021",7.8252
"1868","S. Katooko","Sobianitedrucy","DF","Wet Flames",21,"D","2021",7.82776666666667
"199","K. Oloya","Quewenia","DF","Golden Rustlers",27,"B","2020",7.84266666666667
"712","L. Sayed","Ledian","DF","Serious Ranchers",23,"D","2020",7.84746666666667
"756","V. Olanya","Republic of Denand Landsa","DF","Sugar Bengals",28,"D","2020",7.87443333333333
"1855","D. Amanyire","Sobianitedrucy","DF","Sugar Bengals",31,"D","2021",7.87566666666667
"1599","G. Tamm","Dosqaly","DFMF","Ultimate Dolphins",18,"C","2021",7.89036666666667
"386","W. binti Ishak","Esia","DF","Blue Jaguars",30,"C","2020",7.89323333333333
"688","Q. Cheong","Lefghau","DF","Remarkable Flames",20,"D","2020",7.8935
"2165","W. Mbaziira","Rarita","DF","Strong Oaks",36,"RFL","2021",7.8944
"1251","S. bin Ramli","Dosqaly","DF","Golden Rustlers",32,"B","2021",7.89816666666667
"1175","T. Nagujja","Nancipenuaroe","DF","Solemn Cougars",25,"A","2021",7.90046666666667
"1726","E. Ghosh","Sobianitedrucy","DF","Hideous Spartans",30,"D","2021",7.9133
"1710","G. Ribeiro","Imaar Vircoand","DF","Flying Bombadiers",27,"D","2021",7.91686666666667
"1813","K. Supriadi","Pahon","DF","Serious Ranchers",27,"D","2021",7.92446666666666
"1034","E. Hor","Nganion","DF","Marvelous Coyotes",22,"RFL","2020",7.92596666666666
"1680","Q. Chunga","Southern Ristan","DF","Coy Sunbirds",17,"D","2021",7.9434
"177","V. Mhlanga","Dosqaly","DF","Flawless Cows",26,"B","2020",7.9624
"1641","E. Musisi","Esia","DF","Wicked Gentlefolk",25,"C","2021",7.9689
"1389","S. Nayiga","Sobianitedrucy","DF","Unaccountable Foxes",27,"B","2021",7.97143333333333
"713","F. Nanfuka","Lefghau","DF","Serious Ranchers",22,"D","2020",7.9803
"1137","K. Abalo","Quewenia","MFDF","Mighty Jays",27,"A","2021",7.98436666666666
"536","T. Hermawan","Esia","DF","White Firebirds",23,"C","2020",8.00456666666666
"1253","K. Oloya","Quewenia","DF","Golden Rustlers",28,"B","2021",8.0076
"1664","S. Ningsih","Sobianitedrucy","DF","Coy Catamarans",23,"D","2021",8.0128
"1733","M. Atuhaire","Nancipenuaroe","DFMF","Hideous Spartans",31,"D","2021",8.01363333333333
"1155","I. Namugosa","Western Niasland","DF","Punctual Rustlers",25,"A","2021",8.01743333333333
"1128","S. Kaggwa","Lefghau","DF","Mighty Jays",33,"A","2021",8.0179
"584","E. Mugoya","Byasier Pujan","DF","Flying Bombadiers",26,"D","2020",8.02916666666667
"1748","Y. Opio","Sobianitedrucy","DF","Marvelous Heels",29,"D","2021",8.02963333333333
"1964","C. Pavlovi?","Lefghau","DF","Mad Kingsmen",22,"E","2021",8.03413333333333
"1969","G. Nakalema","Nganion","DF","Mad Kingsmen",19,"E","2021",8.0385
"322","D. Byogero","Lefghau","DF","Unaccountable Foxes",32,"B","2020",8.04983333333333
"1601","D. Mirembe","Nganion","DFMF","Ultimate Dolphins",31,"C","2021",8.0536
"1484","Z. Okon","Byasier Pujan","DF","Horrible Flames",22,"C","2021",8.05413333333334
"1346","M. Tseu","Manlisgamncent","DF","Solemn Leopards",23,"B","2021",8.0633
"287","W. Aciro","Dosqaly","DF","Somber Stallions",27,"B","2020",8.06753333333333
"744","U. Mayer","Rosvi","DF","Strange Pioneers",21,"D","2020",8.069
"1542","K. Shumba","Esia","DF","Serious Cyclones",31,"C","2021",8.0862
"44","D. Svensson","Esia","DF","Horrible Grizzlies",26,"A","2020",8.09926666666667
"1098","G. Nimusiima","Central Diasongo","DF","Green Fleet",26,"A","2021",8.10356666666667
"948","E. Bukar","Lefghau","DF","Swift Bison",28,"E","2020",8.10393333333333
"825","O. Okamoto","Dosqaly","DF","Horrible Bison",22,"E","2020",8.10736666666667
"71","A. Akoth","Unicorporated Tiagascar","DF","Mighty Jays",26,"A","2020",8.11233333333334
"197","J. Mushabe","Lefghau","DF","Golden Rustlers",28,"B","2020",8.11413333333333
"2096","V. It?","Mico","DF","Black Coyotes",31,"RFL","2021",8.12253333333333
"1844","B. Maruyama","Sobianitedrucy","DF","Strange Pioneers",27,"D","2021",8.13406666666667
"1859","R. Kato","Manlisgamncent","DFFW","Sugar Bengals",31,"D","2021",8.14763333333333
"2150","R. Tsao","Rarita","DF","Serious Buffaloes",26,"RFL","2021",8.15436666666666
"1781","A. Davies","Rosvi","DF","Red Rangers",29,"D","2021",8.16906666666666
"1866","T. Candia","Quewenia","DF","Wet Flames",27,"D","2021",8.17086666666667
"1305","V. Thakor","Dosqaly","DFMF","Overconfident Kangaroos",18,"B","2021",8.17323333333333
"1145","Z. Rojas","People's Land of Maneau","DF","Old Mustangs",21,"A","2021",8.18143333333333
"176","Q. Coppola","Dosqaly","DF","Flawless Cows",23,"B","2020",8.1818
"1853","R. Ishii","People's Land of Maneau","DF","Sugar Bengals",35,"D","2021",8.182
"1433","Q. Becker","Dosqaly","DF","Wet Monarchs",25,"B","2021",8.1834
"855","R. Morin","Nganion","DF","Mad Kingsmen",27,"E","2020",8.18516666666666
"1646","W. Chue","Nkasland Cronestan","DF","Wicked Gentlefolk",28,"C","2021",8.2021
"1661","H. Arab","Sobianitedrucy","DF","Coy Catamarans",31,"D","2021",8.22846666666667
