"","Player","Nation","Pos","Squad","Age","League","Year","FWPred"
"635","I. Mwase","Imaar Vircoand","FWMF","Serious Ranchers",24,"D","2020",6.7029
"307","O. Musiimenta","Ucame Ofne","MFFW","Villainous Eagles",26,"B","2020",6.72926666666667
"465","Y. Nartey","Esia","FWMF","Ultimate Dolphins",24,"C","2020",6.7452
"634","B. Sah","Sobianitedrucy","FW","Serious Ranchers",29,"D","2020",6.76906666666667
"994","G. Siddiqui","Central Diasongo","FW","Mighty Jays",25,"A","2021",6.79736666666666
"537","G. González","Imaar Vircoand","FWMF","Fighting Wave",25,"D","2020",6.81843333333333
"370","A. Namubiru","Dosqaly","FWMF","Horrible Flames",20,"C","2020",6.82333333333333
"542","K. Amoding","Northslands","FW","Flying Bombadiers",20,"D","2020",6.83296666666667
"1905","F. Ajio","Rarita","FW","Wild Hornets",29,"RFL","2021",6.83436666666667
"1004","Y. Niemi","Coastpa Barleslands","FW","Old Mustangs",28,"A","2021",6.84433333333333
"1005","Y. Wood","Frenchdo Stanser","FW","Old Mustangs",28,"A","2021",6.85216666666667
"691","O. Aboagye","Dosqaly","FW","Festive Governors",28,"E","2020",6.86563333333333
"1679","A. Yosef","Greri Landmoslands","FWMF","Festive Governors",20,"E","2021",6.87593333333333
"976","Q. Günther","Esia","FW","Horrible Grizzlies",24,"A","2021",6.9045
"1782","A. Bondarenko","Biarizea","FW","Running Bigfoots",24,"E","2021",6.90576666666667
"1550","A. Nasiru","Janmico","MFFW","Hideous Spartans",25,"D","2021",6.91466666666667
"695","K. bin Ali","Nganion","FWDF","Festive Governors",16,"E","2020",6.94283333333333
"1473","Z. Eshun","Dosqaly","FWMF","White Firebirds",22,"C","2021",6.95416666666666
"1869","F. Kazembe","Lefghau","FW","Marvelous Coyotes",23,"RFL","2021",6.9564
"762","D. Groß","Greri Landmoslands","FWMF","Polar Kangaroos",19,"E","2020",6.96053333333334
"660","B. Phillips","Southern Ristan","FW","Sugar Bengals",26,"D","2020",7.02526666666667
"529","H. Kirabira","Newgan Ruland","FWMF","Fighting Clippers",24,"D","2020",7.054
"1875","J. Singini","People's Land of Maneau","FWMF","Marvelous Coyotes",20,"RFL","2021",7.08306666666666
"654","P. Mlotshwa","Sobianitedrucy","FWDF","Strange Pioneers",21,"D","2020",7.0981
"565","K. Amoding","Northslands","FWMF","Marvelous Heels",20,"D","2020",7.09936666666666
"911","T. Aguti","People's Land of Maneau","FW","Marvelous Coyotes",24,"RFL","2020",7.11893333333333
"495","Q. Günther","Esia","FW","White Firebirds",23,"C","2020",7.13323333333333
"1639","L. Novák","Sobianitedrucy","FW","Wet Flames",29,"D","2021",7.13796666666666
"1703","Z. Kneževi?","Lefghau","FW","Horrible Bison",28,"E","2021",7.1511
"5","J. Akello","Bernepamar","MFFW","Fanatical Outlaws",29,"A","2020",7.15643333333333
"719","Y. Sen","Dosqaly","FW","Mad Kingsmen",31,"E","2020",7.17496666666666
"997","I. Kakuru","Lefghau","FW","Mighty Jays",19,"A","2021",7.18333333333333
"564","Y. Nambi","Western Niasland","FW","Marvelous Heels",28,"D","2020",7.18783333333333
"64","F. Heng","Dosqaly","FW","Mighty Jays",28,"A","2020",7.22666666666666
"1137","A. Tusingwire","Dosqaly","FWMF","Mean Poets",21,"B","2021",7.2497
"527","K. Clark","Southern Ristan","FW","Fighting Clippers",32,"D","2020",7.26516666666667
"1051","Z. binti Zakaria","People's Land of Maneau","FW","Stacked Rocks",27,"A","2021",7.27073333333333
"140","H. Robert","Dosqaly","FW","Flawless Cows",20,"B","2020",7.27236666666667
"986","A. Popescu","People's Land of Maneau","FW","Horrible Storm",24,"A","2021",7.2806
"572","V. Tugume","Sobianitedrucy","FW","Marvelous Patriots",31,"D","2020",7.28136666666667
"996","F. Heng","Dosqaly","FW","Mighty Jays",29,"A","2021",7.2834
"1213","K. Koppel","Varijitri Isles","FWMF","Somber Stallions",23,"B","2021",7.28886666666667
"1872","J. Nakano","Pierrema","FW","Marvelous Coyotes",29,"RFL","2021",7.29676666666666
"1339","U. Nhantumbo","Dosqaly","FW","Little Lollipops",27,"C","2021",7.29773333333333
"369","J. Adam","Esia","FWDF","Horrible Flames",29,"C","2020",7.31796666666667
"33","Z. Nabaweesi","People's Land of Maneau","FW","Green Fleet",17,"A","2020",7.3264
"252","F. Schäfer","Rosvi","FWMF","Solemn Leopards",23,"B","2020",7.33026666666667
"116","C. Kadosh","Landli Blicporlip","FWMF","Stacked Rocks",27,"A","2020",7.3323
"1313","Y. Marlina","Isle of Lababwe","FWMF","Blue Jaguars",27,"C","2021",7.33536666666667
"1723","Y. Sen","Dosqaly","FW","Mad Kingsmen",32,"E","2021",7.3557
"563","C. Abramov","Western Niasland","FW","Marvelous Heels",28,"D","2020",7.38413333333333
"31","L. Obote","Dosqaly","FW","Green Fleet",23,"A","2020",7.39336666666667
"615","Q. Higenyi","Varijitri Isles","FW","Remarkable Flames",22,"D","2020",7.39656666666667
"1676","K. bin Ali","Nganion","FW","Festive Governors",17,"E","2021",7.41116666666667
"282","V. Smits","Coastpa Barleslands","FWMF","Swift Rustlers",24,"B","2020",7.42693333333333
"633","L. Razaie","Nathuacamana","FW","Serious Ranchers",30,"D","2020",7.42996666666667
"734","G. Nakasi","Western Niasland","FWMF","Mighty Jimmies",20,"E","2020",7.44783333333333
"104","V. Mudondo","People's Land of Maneau","MFFW","Solemn Cougars",23,"A","2020",7.4536
"1047","Q. Ariko","Djipines","FW","Stacked Rocks",31,"A","2021",7.4542
"713","D. Adebayo","Nganion","FW","Mad Bees",22,"E","2020",7.45986666666667
"620","I. Kat?","Sobianitedrucy","FWMF","Remarkable Flames",20,"D","2020",7.47936666666667
"1442","I. bin Yusof","Central Namemo Laand","FWMF","Ultimate Dolphins",31,"C","2021",7.4875
"526","F. Akwero","Sobianitedrucy","FW","Fighting Clippers",25,"D","2020",7.49936666666667
"724","Q. Ariko","Djipines","FWMF","Mad Kingsmen",30,"E","2020",7.5076
"461","S. Y?lmaz","Nkasland Cronestan","FW","Ultimate Dolphins",30,"C","2020",7.50966666666667
"965","L. Obote","Dosqaly","FW","Green Fleet",24,"A","2021",7.5139
"552","W. Kisitu","Sobianitedrucy","FW","Hideous Spartans",23,"D","2020",7.51433333333333
"555","A. Nasiru","Janmico","MFFW","Hideous Spartans",24,"D","2020",7.52046666666667
"981","D. Kayira","Slandsganiamayotteque","FWMF","Horrible Grizzlies",21,"A","2021",7.5225
"694","M. Mansouri","Nganion","FW","Festive Governors",21,"E","2020",7.53506666666667
"926","F. Ajio","Rarita","FW","Wild Hornets",28,"RFL","2020",7.53676666666666
"1472","Q. Oren","Redohrainbri","FW","White Firebirds",24,"C","2021",7.5425
"62","G. Siddiqui","Central Diasongo","FW","Mighty Jays",24,"A","2020",7.54656666666667
"571","V. Golob","Sobianitedrucy","FW","Marvelous Patriots",24,"D","2020",7.5476
"532","L. De Wit","Greri Landmoslands","FW","Fighting Wave",34,"D","2020",7.55423333333333
"367","U. Musa","Esia","FW","Horrible Flames",27,"C","2020",7.56006666666667
"1486","A. Azmi","Giumle Lizeibon","FW","Wicked Gentlefolk",23,"C","2021",7.56246666666667
"910","F. Kazembe","Lefghau","FW","Marvelous Coyotes",22,"RFL","2020",7.5674
"1732","N. Utami","Southern Ristan","FWMF","Mad Kingsmen",29,"E","2021",7.59126666666666
"1083","R. Ssembatya","Nganion","FWMF","Flawless Cows",28,"B","2021",7.63133333333333
"1753","G. Mlakar","Republic of Denand Landsa","MFFW","Plane Janes",21,"E","2021",7.63143333333333
"1131","M. Wójcik","Dosqaly","FWMF","Mean Colts",25,"B","2021",7.65456666666667
"1593","S. Soon","Sobianitedrucy","FW","Red Rangers",23,"D","2021",7.6612
"353","Z. Davies","Manlisgamncent","FWMF","Blue Jaguars",28,"C","2020",7.6621
"1908","A. Tindimwebwa","Rarita","FWMF","Wild Hornets",20,"RFL","2021",7.66563333333333
"1108","B. Ghorbani","Ngogalar","FW","Grotesque Rocks",26,"B","2021",7.67393333333334
"783","G. Nadunga","Imaar Vircoand","FW","Running Bigfoots",25,"E","2020",7.6863
"1441","S. Y?lmaz","Nkasland Cronestan","FW","Ultimate Dolphins",31,"C","2021",7.68776666666667
"1522","R. Nkosi","Sobianitedrucy","FW","Fighting Clippers",29,"D","2021",7.6916
"1540","K. Amoding","Northslands","FWMF","Flying Bombadiers",21,"D","2021",7.69936666666667
"1363","G. Odoch","Quewenia","MFFW","Mean Trolls",21,"C","2021",7.7046
"531","R. Nkosi","Sobianitedrucy","FWMF","Fighting Clippers",28,"D","2020",7.7275
"32","T. Ichikawa","People's Land of Maneau","FW","Green Fleet",21,"A","2020",7.72993333333333
"533","B. Esposito","Imaar Vircoand","FW","Fighting Wave",31,"D","2020",7.73583333333333
"1582","V. Smits","Coastpa Barleslands","FW","Mighty Monkeys",25,"D","2021",7.7453
"725","M. Kneževi?","Lefghau","FWMF","Mad Kingsmen",19,"E","2020",7.7461
"469","G. Ochwo","Lefghau","MFFW","Ultimate Dolphins",27,"C","2020",7.74836666666667
"1443","M. Sakai","Dosqaly","FWMF","Ultimate Dolphins",24,"C","2021",7.76186666666667
"1510","X. Tembe","Cabral Retrea","FWMF","Coy Sunbirds",20,"D","2021",7.76496666666666
"1237","Y. Manjate","Byasier Pujan","FW","Unaccountable Foxes",26,"B","2021",7.77046666666667
"76","Y. Niemi","Coastpa Barleslands","FW","Old Mustangs",27,"A","2020",7.7749
"520","M. Mangena","Sobianitedrucy","FWMF","Deranged Defenders",27,"D","2020",7.77623333333333
"1519","K. Sekh","Republic of Denand Landsa","FW","Fighting Clippers",21,"D","2021",7.77716666666667
"1343","M. Mathieu","Quewenia","FWMF","Little Lollipops",23,"C","2021",7.7809
"46","D. Kayira","Slandsganiamayotteque","FW","Horrible Grizzlies",20,"A","2020",7.80143333333333
"270","E. Lund","Republic of Denand Landsa","FWMF","Supreme Janes",24,"B","2020",7.82613333333334
"1035","X. Joly","People's Land of Maneau","FWMF","Solemn Cougars",22,"A","2021",7.8278
"693","I. Stoica","Janmico","FW","Festive Governors",32,"E","2020",7.8299
"1114","U. Dewi","Reugha","FWMF","Grotesque Rocks",23,"B","2021",7.8309
"751","J. Chou","Nganion","FWMF","Plane Janes",27,"E","2020",7.8391
"606","B. Yousefi","Sobianitedrucy","FWMF","Red Rangers",28,"D","2020",7.84203333333333
"696","L. Ndyanabo","Imaar Vircoand","FWMF","Festive Governors",32,"E","2020",7.84386666666667
"279","L. Castro","Dosqaly","FW","Swift Rustlers",28,"B","2020",7.84556666666666
"1529","G. González","Imaar Vircoand","FW","Fighting Wave",26,"D","2021",7.85416666666667
"1331","I. Nagadya","Imaar Vircoand","FW","Horrible Flames",27,"C","2021",7.86213333333334
"1680","L. Ndyanabo","Imaar Vircoand","FWMF","Festive Governors",33,"E","2021",7.8626
"1246","M. Azulay","Dosqaly","MFFW","Unaccountable Foxes",22,"B","2021",7.88593333333333
"929","G. Mandaza","Greri Landmoslands","FWMF","Wild Hornets",23,"RFL","2020",7.88656666666667
"1678","O. Aboagye","Dosqaly","FWMF","Festive Governors",29,"E","2021",7.89193333333333
"147","Z. Ahmetovi?","Lefghau","MFFW","Flawless Cows",27,"B","2020",7.89806666666667
"1449","K. Nasution","Greri Landmoslands","FW","Ultimate Longhorns",24,"C","2021",7.89873333333333
"1334","A. Namubiru","Dosqaly","FWMF","Horrible Flames",21,"C","2021",7.91076666666666
"1896","U. Shoko","Rarita","FW","Strong Oaks",24,"RFL","2021",7.9138
"1274","M. Mubangizi","Greri Landmoslands","FWMF","Weak Blimps",24,"B","2021",7.9149
"763","B. Abubakar","Imaar Vircoand","MFFW","Polar Kangaroos",24,"E","2020",7.9325
"892","U. Nafula","Mico","FWMF","Great Pandas",28,"RFL","2020",7.9422
"1611","B. Sah","Sobianitedrucy","FW","Serious Ranchers",30,"D","2021",7.95453333333334
"368","I. Nagadya","Imaar Vircoand","FW","Horrible Flames",26,"C","2020",7.96626666666667
"1000","G. Dijkstra","People's Land of Maneau","FWDF","Mighty Jays",18,"A","2021",7.96706666666666
"1445","L. Tu","Esia","FWMF","Ultimate Dolphins",24,"C","2021",7.9689
"619","M. Mansouri","Nganion","FWMF","Remarkable Flames",21,"D","2020",7.97306666666667
"1250","A. Uy","People's Land of Maneau","FWMF","Unethical Comets",22,"B","2021",7.98176666666666
"928","E. Alowo","Greri Landmoslands","FWMF","Wild Hornets",22,"RFL","2020",7.9864
"1677","P. Peh","Dosqaly","FWDF","Festive Governors",23,"E","2021",7.99443333333333
"1338","K. Eyotaru","Dosqaly","FW","Little Lollipops",22,"C","2021",8.00283333333333
"1614","A. Patal","Sobianitedrucy","FW","Spicy Pointers",29,"D","2021",8.00433333333333
"913","J. Singini","People's Land of Maneau","FWMF","Marvelous Coyotes",19,"RFL","2020",8.01196666666667
"1238","F. Got?","Central Namemo Laand","FW","Unaccountable Foxes",27,"B","2021",8.01256666666667
"1525","K. Clark","Southern Ristan","FWMF","Fighting Clippers",33,"D","2021",8.02796666666667
"379","E. Tumuhimbise","Esia","FWMF","Little Lollipops",28,"C","2020",8.0319
"1560","D. Pfeiffer","Imaar Vircoand","FWMF","Marvelous Heels",32,"D","2021",8.0356
"1074","H. Robert","Dosqaly","FW","Flawless Cows",21,"B","2021",8.03593333333333
"1832","G. Matei","Nganion","FWMF","Ultimate Penguins",28,"E","2021",8.03673333333333
"1632","E. Gayakwad","Imaar Vircoand","FW","Sugar Bengals",22,"D","2021",8.06023333333333
"1749","J. Chou","Nganion","FWMF","Plane Janes",28,"E","2021",8.06156666666667
"1272","J. Nakayama","Dosqaly","FWMF","Weak Blimps",21,"B","2021",8.0785
"914","J. Nakano","Pierrema","FWMF","Marvelous Coyotes",28,"RFL","2020",8.09496666666666
"1211","N. Rebane","Varijitri Isles","FW","Somber Stallions",35,"B","2021",8.09683333333333
"1231","F. Monday","Pahon","FWMF","Swift Rustlers",30,"B","2021",8.11423333333334
"556","F. Contreras","Sobianitedrucy","MFFW","Hideous Spartans",27,"D","2020",8.12373333333333
"53","H. Nsamba","Byasier Pujan","FWMF","Horrible Storm",24,"A","2020",8.1253
"1275","T. Winkler","Quewenia","FWMF","Weak Blimps",19,"B","2021",8.14243333333333
"1633","F. Oyama","Northern Namemo Laand","FW","Sugar Bengals",31,"D","2021",8.1467
"1151","H. Sugiyama","Dosqaly","FWMF","Overconfident Kangaroos",26,"B","2021",8.1505
"358","M. Omony","Giumle Lizeibon","MFFW","Blue Jaguars",19,"C","2020",8.15386666666667
"1227","L. Castro","Dosqaly","FW","Swift Rustlers",29,"B","2021",8.16716666666666
"298","C. Abaho","Pierrema","FW","Unethical Comets",27,"B","2020",8.1734
"1873","G. Vidal","Imaar Vircoand","FWMF","Marvelous Coyotes",32,"RFL","2021",8.17743333333333
"491","H. Driscoll","Southern Ristan","FWMF","Weak Chargers",21,"C","2020",8.1847
"1203","F. Nyakaisiki","Nkasland Cronestan","FW","Solemn Leopards",26,"B","2021",8.19413333333333
"12","L. Wafula","Dosqaly","FW","Fighting Cougars",22,"A","2020",8.19503333333333
"663","E. Zacarias","Sobianitedrucy","FW","Wet Flames",25,"D","2020",8.20666666666667
"1021","N. Namwanje","Western Niasland","FWMF","Punctual Rustlers",29,"A","2021",8.21373333333333
"1085","Z. Ahmetovi?","Lefghau","MFFW","Flawless Cows",28,"B","2021",8.2176
"1513","D. Jafari","Imaar Vircoand","FWMF","Coy Sunbirds",23,"D","2021",8.21873333333333
"1758","B. Abubakar","Imaar Vircoand","FWMF","Polar Kangaroos",25,"E","2021",8.22833333333333
"174","R. Nanono","Ingre","FW","Hideous Pioneers",23,"B","2020",8.23146666666666
"575","N. Colón","Central Diasongo","MFFW","Marvelous Patriots",19,"D","2020",8.23173333333333
"737","T. Mendes","Lylimi","MFFW","Mighty Jimmies",18,"E","2020",8.23413333333333
"770","P. Ayd?n","Nganion","FW","Punctual Leopards",31,"E","2020",8.23513333333333
"1884","I. Shoshan","Rarita","FW","Serious Buffaloes",30,"RFL","2021",8.2562
"1634","B. bin Abd Rahman","Sobianitedrucy","FW","Sugar Bengals",21,"D","2021",8.25736666666667
"1305","N. Khalil","Dastatesne","FW","Blue Jaguars",28,"C","2021",8.26086666666667
"63","U. Nalumansi","Czechnor","FW","Mighty Jays",30,"A","2020",8.2794
"1523","Z. Nakayama","Sobianitedrucy","FW","Fighting Clippers",25,"D","2021",8.29286666666666
"1757","D. Groß","Greri Landmoslands","FWMF","Polar Kangaroos",20,"E","2021",8.30456666666666
"1724","M. Kneževi?","Lefghau","FW","Mad Kingsmen",20,"E","2021",8.31013333333333
"567","D. Pfeiffer","Imaar Vircoand","MFFW","Marvelous Heels",31,"D","2020",8.33203333333333
"559","M. D?browski","Northslands","FW","Marvelous Heels",19,"D","2020",8.33336666666667
"159","U. Atugonza","Republic of Denand Landsa","FW","Golden Rustlers",20,"B","2020",8.3337
"593","W. Kisitu","Sobianitedrucy","FW","Punctual Fire",23,"D","2020",8.3542
"638","Z. Kebirungi","Central Diasongo","FW","Spicy Pointers",21,"D","2020",8.35443333333333
"909","G. Vidal","Imaar Vircoand","FW","Marvelous Coyotes",31,"RFL","2020",8.3574
"302","E. Kinoshita","Biarizea","FW","Villainous Eagles",27,"B","2020",8.37726666666667
"144","I. bin Yusof","Central Namemo Laand","FWMF","Flawless Cows",30,"B","2020",8.37893333333333
"1149","E. De Santis","Dosqaly","FWMF","Overconfident Kangaroos",23,"B","2021",8.39633333333333
"283","F. Monday","Pahon","FWMF","Swift Rustlers",29,"B","2020",8.39843333333333
"1048","C. Kadosh","Landli Blicporlip","FW","Stacked Rocks",28,"A","2021",8.39963333333333
"90","C. Namutebi","People's Land of Maneau","MFFW","Punctual Rustlers",30,"A","2020",8.40936666666667
"728","N. Utami","Southern Ristan","FWMF","Mad Kingsmen",28,"E","2020",8.41056666666666
"345","D. Isabirye","Esia","MFFW","Awkward Trailblazers",21,"C","2020",8.411
"1300","G. Chakanyuka","Loco Phirema","FWMF","Awkward Trailblazers",24,"C","2021",8.41423333333334
"1845","W. Martinez","Rarita","FW","Black Coyotes",21,"RFL","2021",8.4201
"587","F. Mugabe","Sobianitedrucy","FWMF","Mighty Monkeys",22,"D","2020",8.42513333333333
"995","U. Nalumansi","Czechnor","FW","Mighty Jays",31,"A","2021",8.42646666666667
"1624","Y. Akiror","Rosvi","FW","Strange Pioneers",20,"D","2021",8.43933333333334
"512","P. Rabiu","Sobianitedrucy","FWMF","Coy Sunbirds",26,"D","2020",8.4558
"642","J. Soares","Eastern Niasland","FWMF","Spicy Pointers",36,"D","2020",8.45803333333333
"577","G. Chimwaza","Sobianitedrucy","MFFW","Marvelous Patriots",19,"D","2020",8.46316666666667
"905","D. Bengtsson","Rarita","MFFW","Mad Cardinals",23,"RFL","2020",8.46336666666666
"1130","Z. Basile","Dosqaly","FW","Mean Colts",18,"B","2021",8.4718
"570","P. Mukalazi","Ledian","FW","Marvelous Patriots",23,"D","2020",8.47266666666666
"1212","E. Teixeira","Slandsganiamayotteque","FWMF","Somber Stallions",20,"B","2021",8.4769
"1372","Z. Namatovu","Esia","FWMF","Punctual Archers",23,"C","2021",8.48583333333333
"1754","I. Stoica","Janmico","FW","Polar Kangaroos",33,"E","2021",8.48823333333333
"1243","Z. Ndawula","Eastern Covaki","FW","Unaccountable Foxes",24,"B","2021",8.49083333333333
"80","A. Logose","Lylimi","FWMF","Old Mustangs",24,"A","2020",8.49226666666666
"507","N. Katusabe","Mico","FW","Coy Sunbirds",26,"D","2020",8.5116
"1528","L. De Wit","Greri Landmoslands","FW","Fighting Wave",35,"D","2021",8.5141
"1705","B. Male","Nganion","FWMF","Horrible Bison",23,"E","2021",8.51893333333333
"1600","R. Begum","Unicorporated Tiagascar","FW","Remarkable Flames",34,"D","2021",8.52086666666667
"1309","V. Ikeda","Southern Viout Aman","FW","Blue Jaguars",26,"C","2021",8.5278
"1890","P. Rabiu","Rarita","MFFW","Serious Buffaloes",27,"RFL","2021",8.52883333333334
"1006","E. Alowo","Greri Landmoslands","FW","Old Mustangs",23,"A","2021",8.5291
"373","H. Alobo","Esia","MFFW","Horrible Flames",20,"C","2020",8.53243333333333
"1475","P. Uddin","Xikong","FWMF","White Firebirds",28,"C","2021",8.54633333333333
"1556","Y. Nambi","Western Niasland","FW","Marvelous Heels",29,"D","2021",8.54933333333334
"614","R. Begum","Unicorporated Tiagascar","FW","Remarkable Flames",33,"D","2020",8.5558
"179","O. Tusabe","Dosqaly","MFFW","Hideous Pioneers",24,"B","2020",8.55653333333333
"1210","L. Sichali","Central Democracy of Boekrainego","FW","Somber Stallions",20,"B","2021",8.56333333333333
"1394","Q. Sithole","Slandsganiamayotteque","FWMF","Serious Cyclones",17,"C","2021",8.57386666666667
"1555","C. Abramov","Western Niasland","FW","Marvelous Heels",29,"D","2021",8.59103333333334
"497","K. Jakobsson","Galamily","FW","White Firebirds",23,"C","2020",8.593
"523","K. Driciru","Sobianitedrucy","MFFW","Deranged Defenders",30,"D","2020",8.59433333333333
"1571","V. Golob","Sobianitedrucy","FWMF","Marvelous Patriots",25,"D","2021",8.5976
"781","U. Yong","Byasier Pujan","FW","Running Bigfoots",28,"E","2020",8.61030000000001
"197","F. Chiumia","Dosqaly","FW","Lady Ocelots",23,"B","2020",8.61093333333334
"647","Z. Kebirungi","Central Diasongo","FW","Strange Pioneers",21,"D","2020",8.62036666666667
"1159","I. Okada","Dosqaly","FW","Serious Thunderbirds",33,"B","2021",8.62196666666666
"1470","H. Sat?","Byasier Pujan","FW","White Firebirds",21,"C","2021",8.62703333333334
"1491","X. Lopez","Esia","FWMF","Wicked Gentlefolk",20,"C","2021",8.63083333333333
"1585","J. Nath","Sobianitedrucy","FW","Mighty Monkeys",28,"D","2021",8.6333
"1353","G. Acheampong","New Uwi","MFFW","Marvelous Anchors",23,"C","2021",8.63530000000001
"859","K. Kazlo?","Rarita","FW","Black Coyotes",37,"RFL","2020",8.6358
"1835","S. Fontana","Nganion","FWMF","Ultimate Penguins",24,"E","2021",8.6384
"74","T. Cheung","Djipines","MFFW","Odd Ducks",22,"A","2020",8.64703333333333
"316","J. Nakayama","Dosqaly","FWMF","Weak Blimps",20,"B","2020",8.6479
"463","M. Sakai","Dosqaly","FWMF","Ultimate Dolphins",23,"C","2020",8.6494
"1577","O. Roth","Sobianitedrucy","FW","Mean Wolves",27,"D","2021",8.65053333333334
"1618","J. Mahmoudi","Manlisgamncent","FWMF","Spicy Pointers",25,"D","2021",8.6523
"1635","B. Phillips","Southern Ristan","FW","Sugar Bengals",27,"D","2021",8.6558
"4","I. Namirimu","Thaijagypt","FW","Fanatical Outlaws",29,"A","2020",8.6608
"30","I. Koomson","Djipines","FW","Green Fleet",21,"A","2020",8.66363333333334
"639","Q. Acen","Danan Seekeeling","FW","Spicy Pointers",23,"D","2020",8.67693333333333
"1595","I. Lehmann","Sobianitedrucy","FWMF","Red Rangers",18,"D","2021",8.68476666666666
"1637","E. Zacarias","Sobianitedrucy","FW","Wet Flames",26,"D","2021",8.68603333333333
"1607","G. Hungwe","Sobianitedrucy","MFFW","Remarkable Flames",24,"D","2021",8.68833333333333
"275","O. Ninsiima","Greri Landmoslands","DFFW","Swift Rustlers",24,"B","2020",8.69606666666666
"165","A. Jensen","Buhegeor","FW","Grotesque Rocks",23,"B","2020",8.70706666666667
"1451","F. Claes","Rosvi","FWMF","Ultimate Longhorns",22,"C","2021",8.71533333333333
"1801","J. Pradhan","Nganion","MFFW","Sassy Knights",23,"E","2021",8.7199
"1671","I. Soko","Greri Landmoslands","MFFW","Delta Colts",21,"E","2021",8.7287
"1276","P. Li","Dosqaly","MFFW","Weak Blimps",22,"B","2021",8.73003333333333
"1026","F. Diaz","Southern Ristan","FW","Silver Heels",29,"A","2021",8.73009999999999
"418","F. Yan","Redohrainbri","FW","Serious Cyclones",19,"C","2020",8.73030000000001
"1594","M. D?browski","Northslands","FWMF","Red Rangers",20,"D","2021",8.73836666666667
"545","E. Bošnjak","Northslands","FWMF","Flying Bombadiers",17,"D","2020",8.73856666666667
"685","V. Sserugo","Nganion","FWMF","Delta Colts",24,"E","2020",8.7422
"849","I. Tukahirwa","Dosqaly","MFFW","Ultimate Penguins",26,"E","2020",8.75906666666667
"595","Z. Nakayama","Sobianitedrucy","FW","Punctual Fire",24,"D","2020",8.7622
"779","A. Bondarenko","Biarizea","FW","Running Bigfoots",23,"E","2020",8.77203333333333
"145","B. Obonyo","Imaar Vircoand","FWMF","Flawless Cows",31,"B","2020",8.77206666666667
"471","K. Nasution","Greri Landmoslands","FW","Ultimate Longhorns",23,"C","2020",8.7732
"1398","E. Lam","Byasier Pujan","FW","Silver Frogs",27,"C","2021",8.77733333333334
"662","U. Guillot","Sobianitedrucy","MFFW","Sugar Bengals",23,"D","2020",8.7954
