"","Player","Nation","Pos","Squad","Age","League","Year","MidsPred"
"2482","A. Kuhn","Esia","MF","Marvelous Coyotes",29,"RFL","2021",6.98373333333334
"92","H. Twongirwe","People's Land of Maneau","MF","Old Mustangs",29,"A","2020",6.99506666666667
"1933","R. Lau","Cabral Retrea","FWMF","Coy Sunbirds",21,"D","2021",6.99563333333333
"1584","X. Durand","Greri Landmoslands","MF","Somber Stallions",22,"B","2021",7.00219999999999
"2484","T. Nakirijja","Nganion","MF","Marvelous Coyotes",24,"RFL","2021",7.01686666666666
"1342","J. Mukalazi","People's Land of Maneau","MF","Silver Heels",22,"A","2021",7.03316666666667
"1314","E. Nakanjako","Rarita","MFFW","Mighty Jays",20,"A","2021",7.03336666666666
"696","K. Mohammadzadeh","Djipines","MF","Fighting Wave",28,"D","2020",7.03936666666667
"1100","C. Luká?","Nganion","MF","Serious Magicians",23,"E","2020",7.04506666666667
"1514","F. Bello","Dosqaly","MFFW","Overconfident Kangaroos",26,"B","2021",7.0541
"1796","Z. Braun","Esia","DFMF","Serious Cyclones",26,"C","2021",7.05463333333333
"1621","I. Oryema","Lefghau","MF","Unaccountable Foxes",28,"B","2021",7.06846666666666
"1290","C. Nyesiga","Manlisgamncent","MF","Horrible Grizzlies",26,"A","2021",7.0773
"738","W. Nabuuma","Byasier Pujan","MF","Marvelous Heels",28,"D","2020",7.07753333333333
"985","Y. Nagudi","Esia","MF","Mad Kingsmen",29,"E","2020",7.09206666666667
"1513","D. Kakande","Dosqaly","MFFW","Overconfident Kangaroos",27,"B","2021",7.11326666666667
"704","O. Mészáros","Unicorporated Tiagascar","MF","Fighting Wave",29,"D","2020",7.1175
"693","Q. Liang","Nkasland Cronestan","MF","Fighting Clippers",25,"D","2020",7.12646666666667
"1432","W. Kuhn","Dosqaly","MFFW","Glistening Paladins",22,"B","2021",7.13466666666667
"1958","Z. Banda","Eastern Niasland","MFFW","Fighting Clippers",20,"D","2021",7.1561
"1217","B. Sugawara","Greri Landmoslands","FWMF","Marvelous Coyotes",24,"RFL","2020",7.16813333333334
"2323","K. Nambozo","Dosqaly","MFFW","Polar Kangaroos",24,"E","2021",7.1904
"387","M. Azulay","Dosqaly","MFFW","Unaccountable Foxes",21,"B","2020",7.19163333333334
"1962","K. Mohammadzadeh","Djipines","MF","Fighting Wave",29,"D","2021",7.19893333333333
"1873","O. Arinaitwe","Central Republic of Boekrainego","MFFW","Ultimate Longhorns",24,"C","2021",7.22303333333333
"2107","E. Gou","Saintu","MF","Spicy Pointers",26,"D","2021",7.22406666666667
"7","J. Akello","Bernepamar","MFFW","Fanatical Outlaws",29,"A","2020",7.22666666666667
"2437","I. Mwale","Greri Landmoslands","MF","Ultimate Penguins",28,"E","2021",7.23666666666667
"1616","O. Ninsiima","Greri Landmoslands","MFFW","Swift Rustlers",25,"B","2021",7.23763333333333
"1098","J. Maneno","Nganion","FWMF","Serious Magicians",26,"E","2020",7.23836666666667
"2128","E. Hasahya","Sobianitedrucy","MF","Sugar Bengals",26,"D","2021",7.25186666666667
"1321","H. Twongirwe","People's Land of Maneau","MFDF","Old Mustangs",30,"A","2021",7.2543
"1502","V. Thakor","Dosqaly","DFMF","Overconfident Kangaroos",18,"B","2021",7.2728
"1219","J. Nakano","Pierrema","FWMF","Marvelous Coyotes",28,"RFL","2020",7.28043333333333
"609","U. Oola","Dosqaly","MF","Ultimate Dolphins",24,"C","2020",7.28413333333333
"1322","P. Saputra","People's Land of Maneau","MFDF","Old Mustangs",34,"A","2021",7.2877
"964","H. David","Redohrainbri","MF","Horrible Bison",20,"E","2020",7.2947
"2405","C. Luká?","Nganion","MF","Serious Magicians",24,"E","2021",7.2955
"649","A. Mucunguzi","Esia","MF","White Firebirds",27,"C","2020",7.29776666666667
"2021","J. Leroux","Biarizea","MF","Marvelous Patriots",28,"D","2021",7.30043333333333
"190","D. Muhammad","Coastpa Barleslands","MF","Flawless Cows",29,"B","2020",7.30323333333333
"2205","O. Mészáros","Unicorporated Tiagascar","MF","Festive Governors",30,"E","2021",7.33386666666667
"1351","H. Leong","Southern Ristan","MF","Solemn Cougars",23,"A","2021",7.3353
"210","M. Hassan","Sobianitedrucy","MF","Glistening Paladins",27,"B","2020",7.34286666666667
"1955","C. Muhammadu","Nganion","MF","Fighting Clippers",24,"D","2021",7.34386666666667
"1327","N. Namwanje","Western Niasland","FWMF","Punctual Rustlers",29,"A","2021",7.3439
"71","K. Abalo","Quewenia","MF","Mighty Jays",26,"A","2020",7.34499999999999
"748","F. Lee","Sobianitedrucy","MF","Marvelous Patriots",21,"D","2020",7.34986666666667
"1734","M. Chan","Esia","MF","Little Lollipops",23,"C","2021",7.3575
"2281","D. Ocokoru","Nganion","MFFW","Mad Kingsmen",28,"E","2021",7.36556666666667
"1631","G. Heydari","Dosqaly","MF","Unethical Comets",28,"B","2021",7.3814
"196","O. Musonza","Nganion","MFDF","Flawless Cows",29,"B","2020",7.39476666666667
"1410","D. Muhammad","Coastpa Barleslands","MF","Flawless Cows",30,"B","2021",7.40193333333333
"2271","E. Hayati","Nganion","MFFW","Mad Bees",26,"E","2021",7.41443333333333
"1702","R. Dahl","Byasier Pujan","DFMF","Blue Jaguars",18,"C","2021",7.41823333333334
"1706","Z. Kasibante","Esia","MF","Blue Jaguars",22,"C","2021",7.43346666666666
"1148","I. Babirye","Nganion","MFFW","Ultimate Penguins",21,"E","2020",7.44123333333333
"1310","A. Vang","Nganion","MF","Mighty Jays",23,"A","2021",7.45876666666667
"2413","J. Maneno","Nganion","MFFW","Serious Magicians",27,"E","2021",7.45896666666667
"129","V. Mudondo","People's Land of Maneau","MFFW","Solemn Cougars",23,"A","2020",7.46146666666667
"2277","T. Cortez","Janmico","MF","Mad Kingsmen",22,"E","2021",7.46606666666667
"982","D. Ocokoru","Nganion","FWMF","Mad Kingsmen",27,"E","2020",7.47706666666667
"2449","M. Arifin","Unicorporated Tiagascar","MFFW","Black Coyotes",26,"RFL","2021",7.49006666666667
"2316","D. Groß","Greri Landmoslands","FWMF","Polar Kangaroos",20,"E","2021",7.49953333333334
"2292","U. bin Abdullah","Nganion","MF","Orange Giants",23,"E","2021",7.5096
"495","M. Chan","Esia","MF","Little Lollipops",22,"C","2020",7.51
"1937","D. Jafari","Imaar Vircoand","FWMF","Coy Sunbirds",23,"D","2021",7.53993333333333
"480","A. Namubiru","Dosqaly","FWMF","Horrible Flames",20,"C","2020",7.54083333333334
"2105","I. Conte","Mico","MF","Spicy Pointers",27,"D","2021",7.54376666666667
"1901","I. Diallo","Reugha","MFDF","White Firebirds",22,"C","2021",7.5516
"2068","Q. Thakur","Sobianitedrucy","MFFW","Red Rangers",27,"D","2021",7.5718
"1482","H. Dehghan","Central Diasongo","MF","Mean Colts",25,"B","2021",7.57223333333333
"2133","D. Mattila","Dosqaly","MF","Wet Flames",26,"D","2021",7.57713333333333
"695","H. Kelmendi","Lefghau","FWMF","Fighting Wave",28,"D","2020",7.57783333333333
"962","O. Szilágyi","Nganion","MF","Horrible Bison",23,"E","2020",7.58663333333333
"1992","I. Chiu","Cabral Retrea","MF","Hideous Spartans",24,"D","2021",7.5884
"1317","V. Waswa","Byasier Pujan","MF","Old Mustangs",29,"A","2021",7.59253333333333
"1860","U. Oola","Dosqaly","MF","Ultimate Dolphins",25,"C","2021",7.59263333333333
"1385","A. Avako","People's Land of Maneau","MF","Swift Musketeers",25,"A","2021",7.60133333333333
"1952","I. Brown","Dosqaly","MF","Fighting Clippers",25,"D","2021",7.60276666666666
"694","G. González","Imaar Vircoand","FWMF","Fighting Wave",25,"D","2020",7.6071
"1724","D. Safitri","Esia","MF","Horrible Flames",23,"C","2021",7.61073333333334
"2467","Y. Clark","Manlisgamncent","MF","Mad Wolverines",24,"RFL","2021",7.61153333333333
"2196","I. Hsieh","Nganion","DFMF","Festive Governors",28,"E","2021",7.62706666666667
"145","L. Kyalisiima","Byasier Pujan","FWMF","Stacked Rocks",21,"A","2020",7.63893333333333
"1899","W. Isah","Giumle Lizeibon","MF","White Firebirds",26,"C","2021",7.63993333333333
"817","N. Von","Iverde","MF","Remarkable Flames",22,"D","2020",7.6533
"1589","B. Roche","Dosqaly","FWMF","Supreme Janes",26,"B","2021",7.6653
"1581","E. Tumukunde","Dosqaly","MF","Somber Stallions",24,"B","2021",7.67046666666667
"1968","K. Ntege","Slandsganiamayotteque","MF","Fighting Wave",21,"D","2021",7.6856
"2273","C. Neri","Nganion","FWMF","Mad Kingsmen",24,"E","2021",7.68583333333334
"2314","O. Nalubega","Southern Ristan","DFMF","Polar Kangaroos",26,"E","2021",7.6915
"1960","V. Rocha","Western Niasland","DFMF","Fighting Wave",32,"D","2021",7.69833333333333
"2306","K. Larsson","Nganion","MF","Plane Janes",28,"E","2021",7.7007
"483","K. Ntale","Esia","MF","Horrible Flames",26,"C","2020",7.70146666666667
"557","Z. Braun","Esia","MFDF","Serious Cyclones",25,"C","2020",7.70243333333333
"1959","Y. Smit","Sobianitedrucy","DFMF","Fighting Wave",26,"D","2021",7.70436666666666
"479","C. Rodríguez","Esia","DFMF","Horrible Flames",30,"C","2020",7.71466666666667
"335","Z. Heinonen","Dosqaly","MFFW","Solemn Leopards",21,"B","2020",7.7148
"1355","X. Boateng","Southern Ristan","MFFW","Solemn Cougars",26,"A","2021",7.71663333333334
"1254","H. Tourgeman","Rarita","MFFW","Fanatical Outlaws",27,"A","2021",7.71976666666667
"883","D. Sigauke","Sobianitedrucy","MF","Sugar Bengals",22,"D","2020",7.7239
"1611","Y. Molnár","Nganion","MF","Swift Rustlers",33,"B","2021",7.72463333333333
"885","U. Guillot","Sobianitedrucy","MFFW","Sugar Bengals",23,"D","2020",7.7253
"375","Y. Molnár","Nganion","MF","Swift Rustlers",32,"B","2020",7.72586666666667
"2066","U. Nambuya","Galamily","MFFW","Red Rangers",25,"D","2021",7.72776666666667
"1666","P. Li","Dosqaly","MFFW","Weak Blimps",22,"B","2021",7.7283
"94","P. Saputra","People's Land of Maneau","MFDF","Old Mustangs",33,"A","2020",7.73316666666667
"821","Z. Delemovi?","Sobianitedrucy","MF","Remarkable Flames",24,"D","2020",7.73383333333333
"53","O. Nampeera","People's Land of Maneau","MFFW","Horrible Grizzlies",20,"A","2020",7.7355
"423","P. Li","Dosqaly","MFFW","Weak Blimps",21,"B","2020",7.73576666666667
"2123","C. Chand","Janmico","MF","Sugar Bengals",28,"D","2021",7.73966666666667
"2024","F. Lee","Sobianitedrucy","MF","Marvelous Patriots",22,"D","2021",7.7415
"1268","I. Ocen","People's Land of Maneau","MFFW","Fighting Cougars",32,"A","2021",7.75223333333333
"2319","O. Ueno","Newgan Ruland","MF","Polar Kangaroos",30,"E","2021",7.75916666666666
"717","I. Mushonga","Sobianitedrucy","MF","Flying Bombadiers",28,"D","2020",7.76093333333333
"2076","K. Ndiweni","Dosqaly","MF","Remarkable Flames",27,"D","2021",7.764
"2016","S. Obonyo","Central Diasongo","FWMF","Marvelous Patriots",23,"D","2021",7.7654
"1377","A. Kiss","Mico","MF","Stacked Rocks",24,"A","2021",7.7704
"1663","B. Nalugwa","Dosqaly","MF","Weak Blimps",19,"B","2021",7.77123333333333
"2421","B. Tong","Nganion","MF","Swift Bison",23,"E","2021",7.7768
"1282","P. Bauri","Ngoque Blicri","MF","Green Fleet",23,"A","2021",7.7824
"2420","T. Ray","Janmico","MF","Swift Bison",24,"E","2021",7.79
"816","K. Ndiweni","Dosqaly","MF","Remarkable Flames",26,"D","2020",7.7977
"611","T. Astuti","Esia","MF","Ultimate Dolphins",24,"C","2020",7.79946666666667
"981","M. Kneževi?","Lefghau","FWMF","Mad Kingsmen",19,"E","2020",7.80216666666667
"2026","W. Tushabomwe","Zacia Lygia","MF","Marvelous Patriots",28,"D","2021",7.80793333333333
"842","C. Arineitwe","Nganion","MF","Serious Ranchers",26,"D","2020",7.80816666666667
"2190","R. Kabuye","Nganion","MF","Delta Colts",32,"E","2021",7.8083
"988","C. Nangobi","Manlisgamncent","MF","Mad Kingsmen",33,"E","2020",7.80963333333334
"1896","Z. Eshun","Dosqaly","FWMF","White Firebirds",22,"C","2021",7.8207
"1802","I. Permana","Southern Ristan","FWMF","Serious Cyclones",27,"C","2021",7.8229
"1113","G. Namuganza","Rarita","MF","Swift Bison",30,"E","2020",7.8233
"51","I. Makavan","Sobianitedrucy","MF","Horrible Grizzlies",27,"A","2020",7.82556666666667
"193","K. Opio","Esia","MF","Flawless Cows",25,"B","2020",7.83553333333333
"1900","C. Fuentes","Saintu","MF","White Firebirds",29,"C","2021",7.83636666666667
"489","H. Alobo","Esia","MFFW","Horrible Flames",20,"C","2020",7.83663333333334
"2203","X. Nankya","Nganion","MF","Festive Governors",20,"E","2021",7.84126666666667
"652","I. Diallo","Reugha","MF","White Firebirds",21,"C","2020",7.8413
"1512","Y. Zia","Dosqaly","MF","Overconfident Kangaroos",29,"B","2021",7.87303333333334
"555","I. Reilly","Southern Ristan","MF","Serious Cyclones",30,"C","2020",7.88046666666666
"40","P. Bauri","Ngoque Blicri","MF","Green Fleet",22,"A","2020",7.88256666666667
"1021","J. Munguambe","Nganion","FWMF","Plane Janes",25,"E","2020",7.88616666666667
"2100","J. Mahmoudi","Manlisgamncent","FWMF","Spicy Pointers",25,"D","2021",7.8914
"2110","N. Dutta","Sobianitedrucy","MF","Spicy Pointers",27,"D","2021",7.8919
"1064","V. Handayani","Nganion","MF","Running Bigfoots",25,"E","2020",7.9044
"1623","X. Méndez","Lefghau","MF","Unaccountable Foxes",22,"B","2021",7.90583333333334
"2443","J. Suryani","Redohrainbri","FWMF","Black Coyotes",20,"RFL","2021",7.9114
"599","J. Muianga","Biarizea","MFFW","Supreme Jaguars",22,"C","2020",7.91713333333333
"752","N. Colón","Central Diasongo","MFFW","Marvelous Patriots",19,"D","2020",7.92373333333333
"1655","F. Fournier","Pierrema","DFMF","Weak Blimps",24,"B","2021",7.92376666666667
"1036","I. Mponda","Nganion","MF","Polar Kangaroos",27,"E","2020",7.92916666666667
"1184","B. Munemo","Rarita","MF","Golden Cadets",25,"RFL","2020",7.93596666666666
"751","W. Tushabomwe","Zacia Lygia","MF","Marvelous Patriots",27,"D","2020",7.9428
"655","Z. Eshun","Dosqaly","MFFW","White Firebirds",21,"C","2020",7.94513333333334
"2522","X. Leroy","Rarita","MF","Strong Oaks",26,"RFL","2021",7.9482
"1622","S. Nabasa","Lefghau","MF","Unaccountable Foxes",22,"B","2021",7.95083333333333
"1395","L. Barman","People's Land of Maneau","FWMF","Weak Tornadoes",22,"A","2021",7.9543
"406","T. Kuok","Dosqaly","MF","Villainous Eagles",21,"B","2020",7.97
"2321","G. Namakula","Nganion","MFDF","Polar Kangaroos",25,"E","2021",7.97323333333333
"1218","J. Singini","People's Land of Maneau","FWMF","Marvelous Coyotes",19,"RFL","2020",7.978
"2129","U. Guillot","Sobianitedrucy","MF","Sugar Bengals",24,"D","2021",7.97893333333333
"50","G. Baey","People's Land of Maneau","MF","Horrible Grizzlies",25,"A","2020",7.97910000000001
"2448","P. Villa","Rarita","MFFW","Black Coyotes",20,"RFL","2021",7.98333333333334
"372","I. Brown","Dosqaly","MF","Swift Rustlers",24,"B","2020",7.99363333333333
"2488","L. Kidega","Highhlaands","DFMF","Red Anchormen",29,"RFL","2021",7.9952
"2365","F. Ngulube","Nganion","MFFW","Running Bigfoots",25,"E","2021",7.99623333333333
"698","T. Yakovenko","Dosqaly","MF","Fighting Wave",32,"D","2020",8.0019
"986","T. Cortez","Janmico","MF","Mad Kingsmen",21,"E","2020",8.00423333333333
"1723","W. Ainomugisha","Thaijagypt","FWMF","Horrible Flames",22,"C","2021",8.0078
"394","G. Heydari","Dosqaly","MF","Unethical Comets",27,"B","2020",8.01023333333334
"1034","O. Ueno","Newgan Ruland","MF","Polar Kangaroos",29,"E","2020",8.01193333333333
"2202","P. Tibesigwa","Nganion","MF","Festive Governors",17,"E","2021",8.01453333333333
"2069","Z. Delemovi?","Sobianitedrucy","DFMF","Remarkable Flames",25,"D","2021",8.01976666666667
"893","B. Kansiime","Nganion","MFFW","Wet Flames",24,"D","2020",8.02906666666667
"410","Z. Ogawa","Coastpa Barleslands","MFFW","Villainous Eagles",24,"B","2020",8.03166666666666
"701","A. Kalule","Janmico","MF","Fighting Wave",22,"D","2020",8.0325
"2000","A. Nasiru","Janmico","MFFW","Hideous Spartans",25,"D","2021",8.03253333333334
"1408","R. Ssembatya","Nganion","FWMF","Flawless Cows",28,"B","2021",8.04406666666667
"2119","H. Che","Sobianitedrucy","MF","Strange Pioneers",30,"D","2021",8.04823333333334
"194","E. Sommer","Imaar Vircoand","MF","Flawless Cows",25,"B","2020",8.05386666666667
"2198","A. Yosef","Greri Landmoslands","FWMF","Festive Governors",20,"E","2021",8.05676666666667
"1803","L. Adri","Esia","MF","Serious Cyclones",24,"C","2021",8.06323333333333
"802","W. bin Mohamad","Biarizea","MF","Red Rangers",22,"D","2020",8.06493333333333
"1371","L. Kyalisiima","Byasier Pujan","FWMF","Stacked Rocks",22,"A","2021",8.0791
"1067","F. Ngulube","Nganion","MFFW","Running Bigfoots",24,"E","2020",8.08493333333333
"2532","H. Amade","Rarita","MFFW","Wild Hornets",20,"RFL","2021",8.08553333333334
"1907","I. Moses","Esia","FWMF","Wicked Gentlefolk",25,"C","2021",8.08576666666667
"2039","L. Sigauke","Sobianitedrucy","MF","Mean Wolves",23,"D","2021",8.08973333333334
"2082","G. Hungwe","Sobianitedrucy","MFFW","Remarkable Flames",24,"D","2021",8.0921
"1033","M. Kusiima","Nancipenuaroe","MF","Polar Kangaroos",26,"E","2020",8.0925
"1914","J. Gou","Southern Ristan","MF","Wicked Gentlefolk",22,"C","2021",8.10086666666666
"467","Q. Roche","Giumle Lizeibon","MFDF","Blue Jaguars",23,"C","2020",8.105
"2137","L. Sigauke","Sobianitedrucy","MF","Wet Flames",23,"D","2021",8.10506666666667
"1024","G. Bariši?","Nganion","MF","Plane Janes",34,"E","2020",8.1077
"2264","C. Attias","Nganion","MF","Mad Bees",27,"E","2021",8.1164
"742","D. Pfeiffer","Imaar Vircoand","MFFW","Marvelous Heels",31,"D","2020",8.12016666666667
"1956","Q. Liang","Nkasland Cronestan","MF","Fighting Clippers",26,"D","2021",8.12126666666667
"2197","O. Aboagye","Dosqaly","FWMF","Festive Governors",29,"E","2021",8.1266
"2333","K. Roger","Nganion","MF","Punctual Leopards",26,"E","2021",8.1317
"1221","E. Zoabi","Nganion","MF","Marvelous Coyotes",33,"RFL","2020",8.1345
"2506","Q. Morrison","Rarita","MF","Serious Buffaloes",33,"RFL","2021",8.13453333333333
"1863","T. Astuti","Esia","MF","Ultimate Dolphins",25,"C","2021",8.13533333333333
"2207","G. Ochwo","Lefghau","MFFW","Festive Governors",28,"E","2021",8.13863333333334
"48","C. Nyesiga","Manlisgamncent","MF","Horrible Grizzlies",25,"A","2020",8.14383333333333
"484","L. Abbasi","Giumle Lizeibon","MF","Horrible Flames",31,"C","2020",8.14916666666667
"2015","N. Colón","Central Diasongo","FWMF","Marvelous Patriots",20,"D","2021",8.15146666666667
"185","G. Tamm","Dosqaly","DFMF","Flawless Cows",17,"B","2020",8.15693333333333
"2140","F. Ndou","Zamlie Niabangthe","MF","Wet Flames",32,"D","2021",8.15826666666667
"716","H. Pichler","Sobianitedrucy","MF","Flying Bombadiers",29,"D","2020",8.1584
"1625","M. Azulay","Dosqaly","MFFW","Unaccountable Foxes",22,"B","2021",8.16866666666667
"516","Q. Alhassan","Esia","MFFW","Marvelous Anchors",25,"C","2020",8.1708
"1297","K. Namuwaya","People's Land of Maneau","FWMF","Horrible Storm",24,"A","2021",8.17213333333333
"120","O. Nabirye","Coastpa Barleslands","MF","Solemn Cougars",27,"A","2020",8.18013333333334
"989","N. Namwanje","Western Niasland","MF","Mad Kingsmen",28,"E","2020",8.18233333333334
"808","X. Wouters","Sobianitedrucy","MFFW","Red Rangers",22,"D","2020",8.18343333333333
"1610","P. Byarugaba","Greri Landmoslands","MF","Swift Rustlers",20,"B","2021",8.1866
"1491","A. Tusingwire","Dosqaly","FWMF","Mean Poets",21,"B","2021",8.19073333333334
"2078","D. Schmid","Nganion","MF","Remarkable Flames",22,"D","2021",8.19446666666667
"1162","K. Mawanda","Varijitri Isles","MFFW","Black Coyotes",25,"RFL","2020",8.1966
"330","A. Odaga","Byasier Pujan","MF","Solemn Leopards",29,"B","2020",8.19823333333333
"1929","B. Teh","Sobianitedrucy","MFDF","Coy Catamarans",28,"D","2021",8.19913333333333
"2012","X. Wouters","Sobianitedrucy","MF","Marvelous Heels",23,"D","2021",8.19976666666667
"970","C. Attias","Nganion","MF","Mad Bees",26,"E","2020",8.21156666666667
"2511","G. binti Salleh","Rarita","MFFW","Serious Buffaloes",26,"RFL","2021",8.2117
"550","L. Malinga","People's Land of Maneau","FWMF","Serious Cyclones",19,"C","2020",8.2135
"2490","O. Kraus","Nkasland Cronestan","MF","Red Anchormen",30,"RFL","2021",8.2145
"2090","B. Putra","Rosvi","MF","Serious Ranchers",25,"D","2021",8.21456666666667
"892","F. Ndou","Zamlie Niabangthe","MF","Wet Flames",31,"D","2020",8.2191
"388","T. Kuok","Dosqaly","MFFW","Unaccountable Foxes",21,"B","2020",8.2313
"1945","P. Alharbi","Quewenia","MF","Coy Sunbirds",19,"D","2021",8.23153333333333
"854","O. Namusoke","Nkasland Cronestan","MF","Spicy Pointers",21,"D","2020",8.2355
"148","G. Magnusson","Dosqaly","MF","Stacked Rocks",22,"A","2020",8.23876666666667
"551","I. Permana","Southern Ristan","FWMF","Serious Cyclones",26,"C","2020",8.24186666666667
"1441","C. Shaheen","Dosqaly","MF","Golden Rustlers",20,"B","2021",8.24423333333334
"1976","C. Majoni","Sobianitedrucy","FWMF","Flying Bombadiers",28,"D","2021",8.24746666666667
"687","R. Nkosi","Sobianitedrucy","FWMF","Fighting Clippers",28,"D","2020",8.249
"688","Z. Banda","Eastern Niasland","MF","Fighting Clippers",19,"D","2020",8.25
"2526","A. Tindimwebwa","Rarita","FWMF","Wild Hornets",20,"RFL","2021",8.25026666666667
"617","G. Ochwo","Lefghau","MFFW","Ultimate Dolphins",27,"C","2020",8.25476666666667
"378","Y. Manjate","Byasier Pujan","FWMF","Unaccountable Foxes",25,"B","2020",8.25526666666667
"2142","H. Baumgartner","Unicorporated Tiagascar","MFFW","Wet Flames",23,"D","2021",8.25703333333333
"1936","G. Lubis","Dosqaly","FWMF","Coy Sunbirds",22,"D","2021",8.2633
"1315","M. Carpentier","Lefghau","DFMF","Old Mustangs",26,"A","2021",8.2635
"285","Y. Ademovi?","Dosqaly","MF","Overconfident Kangaroos",30,"B","2020",8.2651
"1921","E. Kutosi","Lefghau","MF","Coy Catamarans",25,"D","2021",8.26656666666667
"1895","W. Zarei","Slandsganiamayotteque","DFMF","White Firebirds",21,"C","2021",8.26703333333333
"1963","O. Maulana","Dosqaly","MF","Fighting Wave",25,"D","2021",8.27063333333334
"263","R. Rusere","Tercapetralgrorus","MF","Jumping Beans",21,"B","2020",8.2723
"1660","M. Mubangizi","Greri Landmoslands","FWMF","Weak Blimps",24,"B","2021",8.27806666666667
"481","L. Ndoro","Esia","FWMF","Horrible Flames",16,"C","2020",8.27916666666667
"2067","J. Chew","Sobianitedrucy","MFFW","Red Rangers",25,"D","2021",8.2842
"1156","O. Wanjala","Rarita","MF","Black Coyotes",22,"RFL","2020",8.28483333333333
"971","E. Hayati","Nganion","MF","Mad Bees",25,"E","2020",8.28516666666667
